value,sector,center_degrees
0.21,1,0
0.01,2,30
0,3,60
0.01,4,90
0.18,5,120
0.07,6,150
0.01,7,180
0,8,210
0.01,9,240
0.03,10,270
0.1,11,300
0.37,12,330
