value,sector,center_degrees
0.17,1,0
0.02,2,30
0.01,3,60
0.02,4,90
0.16,5,120
0.09,6,150
0.02,7,180
0.01,8,210
0.02,9,240
0.05,10,270
0.12,11,300
0.31,12,330
